City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Huilong,CN,88.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
379,Port Moresby,PG,82.9,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
381,Urucara,BR,75.79,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
382,Isangel,VU,75.47,overcast clouds,-19.55,169.2667,Tanna Lodge
383,Billings,US,86.29,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
385,Namatanai,PG,85.35,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
389,Fare,PF,80.17,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
393,Douglas,US,85.93,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
394,Half Moon Bay,US,83.03,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
397,Petatlan,MX,82.2,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
398,Gombong,ID,79.47,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
401,Khandyga,RU,76.6,clear sky,62.6667,135.6,Apel'sin
402,Pahrump,US,80.65,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
404,Jinxiang,CN,82.04,clear sky,27.4327,120.6062,Wolong Village
405,Taiyuan,CN,75.06,clear sky,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
406,Samarai,PG,79.45,light rain,-10.6167,150.6667,Nuli Sapi
407,Zaoyang,CN,76.78,overcast clouds,32.1272,112.7542,Shanghai Hotel
408,The Valley,AI,82.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
409,Gushikawa,JP,87.8,few clouds,26.3544,127.8686,Kirari Guest House
411,Labuhan,ID,79.72,overcast clouds,-6.8844,112.2051,DoubleFAG
412,Amarpur,IN,85.66,few clouds,25.0333,86.9,Amit kirana store
416,Catuday,PH,80.67,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
423,Lorengau,PG,84.69,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
429,Narasannapeta,IN,82.09,overcast clouds,18.4167,84.05,AVK events and catering
430,Biak,ID,77.67,overcast clouds,-0.9131,122.8766,Penginapan Kim
431,Kieta,PG,85.28,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
433,Hobyo,SO,77.41,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
434,Celestun,MX,79.86,overcast clouds,20.8667,-90.4,Posada Lilia
435,Tuku,TW,89.46,few clouds,23.6778,120.3926,雲林商務旅館—芳斯華
